pretty_formula,rA,rB,mA,mB,orb_A,orb_B,Z_A,Z_B,X_A,X_B,air_A,air_B,mv_A,mv_B,a,b,c,alpha,beta,gamma,volume,A_B_bond,A_O_bond,B_O_bond,energy,EPA,FEPA,nsites,Band_gap,Density,CR_A,CR_B,IE_A,IE_B,A_valence,B_valence,EPS_A,EPS_B,DP_A,DP_B,SH_A,SH_B,TC_A,TC_B,A_density,B_density,MP_A,MP_B,BP_A,BP_B,FH_A,FH_B,EH_A,EH_B,LUMO,HOMO,target
LaCrO3,1.95,1.4,138.90547,51.9961,3,2,57,24,1.1,1.66,1.172,0.94,22.39,7.23,5.561333,5.608065,7.879166,90.0000845,89.99981274,90.00002052,245.7379265,3.257205555,2.403642722,2.021477609,-40.89875858,-8.179751716,-3.11714152,5,1.9218,6.549860059,180,122,5.5769,6.76651,3,6,2,1,215,83,0.197,0.488,13.4,93.9,6.15,7.18,1194,2130,3730,2945,8.5,21,402,342,-0.141085,-0.141085,0
CaZrO3,1.8,1.55,40.078,91.224,0,2,20,40,1,1.33,1.14,0.86,26.2,14.02,5.638372,5.833226,8.106924,90,90,90,266.6359047,3.31348186,2.343980467,2.120608846,-332.4818559,-8.312046398,-3.655214443,40,3.4707,4.38825118,171,154,6.1131552,6.6339,2,4,2,2,160.8,112,0.653,0.281,201,22.7,1.55,6.506,1112,2125,1757,4650,9.2,19.2,153.6,567,-0.162391,-0.338381,0
Zn(GaO2)2,1.35,1.3,65.409,69.723,2,1,30,31,1.65,1.81,0.88,0.76,9.16,11.8,5.98141768,5.98141768,5.98141768,60,60,60,151.3203693,3.506916969,2.003122779,2.020488566,-79.1968495,-5.656917821,-2.185731776,14,2.3123,5.900596745,118,124,9.394199,5.9993018,12,3,2,3,38.67,50,0.388,0.372,116,28.1,7.133,5.91,692.73,302.93,1180,2676,7.28,5.59,114.8,270.3,-0.328019,-0.338381,0
SmMn2O5,1.85,1.4,150.36,54.938045,3,2,62,25,1.17,1.55,1.229,0.648333333,19.98,7.35,5.814199,7.505496,8.67377,90,90,90,378.5098554,3.379828795,2.382487453,1.910019076,-221.0739679,-6.908561496,-1.795096188,32,1.1011,5.970468886,172,119,5.64371,7.434018,3,7,2,2,192,68,0.18,0.477,13.3,7.8,7.52,7.21,1350,1517,2064,2235,8.9,13.4,165,221,-0.26654,-0.26654,0
SrMoO4,2,1.45,87.62,95.94,0,2,38,42,0.95,2.16,1.32,0.775,33.94,9.38,5.488788002,5.488788002,7.23921114,112.2780232,112.2780232,90.00000001,184.1010406,3.881159217,2.614896703,1.80399559,-84.73826338,-7.061521948,-2.730392237,12,3.8074,4.465798331,185,138,5.6948672,7.09243,2,6,2,1,197.2,87,0.301,0.251,35.3,138,2.54,10.22,1042,2890,1657,4885,9.2,28,144,590,-0.153347,-0.338381,0
MnNb2O6,1.4,1.45,54.938045,92.90638,2,2,25,41,1.55,1.6,0.648333333,0.82,7.35,10.83,5.148277,5.896774,14.651016,90,90,90,444.7788542,3.569158216,2.167901418,1.834793289,-305.8977131,-8.497158696,-2.59077434,36,2.5103,5.028853105,119,147,7.434018,6.75885,7,5,2,1,68,98,0.477,0.268,7.8,53.7,7.21,8.57,1517,2741,2235,5015,13.4,26.8,221,680,-0.26654,-0.26654,0
Ta2NiO6,1.45,1.35,180.94788,58.6934,2,2,73,28,1.5,1.91,0.82,0.74,10.85,6.59,4.777402,4.777402,9.177888,90,90,90,209.472168,3.041093189,1.987164981,2.098834251,-150.9638603,-8.386881129,-2.519617888,18,2.7623,8.190209687,146,110,7.54957,7.639877,5,10,2,2,74,49,0.14,0.443,57.5,90.9,16.654,8.902,3269,1726,5698,3005,24.7,17.61,758,378.6,-0.338381,-0.338381,0
Mn2CdO4,1.4,1.55,54.938045,112.411,2,2,25,48,1.55,1.69,0.648333333,1.09,7.35,13,5.92959148,5.92958934,6.512191441,117.0170673,117.0146187,90.12982614,175.3366207,3.538597434,1.966684158,2.191927351,-92.05686328,-6.575490234,-1.882550621,14,0.8878,5.422562634,119,136,7.434018,8.993822,7,12,2,2,68,46,0.477,0.232,7.8,96.9,7.21,8.65,1517,594.1,2235,1038,13.4,6.11,221,59.1,-0.26654,-0.26654,0
MgAl2O4,1.5,1.25,24.305,26.9815386,0,1,12,13,1.31,1.61,0.86,0.675,14,10,2.831636,8.762866,8.76286551,120.0000019,90,90,188.3043556,2.788601739,2.110338961,1.889889336,-396.8046038,-7.085796496,-3.361409432,56,4.5557,3.466428543,139,126,7.646235,5.9857684,2,3,2,3,71.2,57.8,1.025,0.9,156,237,1.738,2.6989,922,933.5,1363,2740,9.2,10.75,131.8,284.1,-0.286883,-0.338381,0
TiO2,0.6,0.6,15.9994,15.9994,1,1,8,8,3.44,3.44,1.26,1.26,17.36,17.36,3.766936,6.435368024,6.61621224,106.1821844,90,107.0181414,146.7062824,2.542338,1.781132,1.781132,-107.6891119,-8.974092661,-3.511964735,12,2.6786,3.615940003,136,136,6.82812,6.82812,4,4,2,2,100,100,0.523,0.523,21.9,21.9,4.54,4.54,1933,1933,3560,3560,18.8,18.8,422.6,422.6,-0.17001,-0.338381,0
